,Unnamed: 0,closed,opened,duration,status,seg_id,created,ID,decision,score,assignee_masked,unique_task_id,avg_opened_time
1706,1706,2022-01-03 16:21:26.377999872,-9223372036854775808,243.0,closed,864691135740271211,2021-12-30 13:31:18.063000000,57,no,0.0,26,86469113574027121157,1.3214463237220068e+18
1192,1192,2022-01-03 16:26:46.067000064,1641227012009999872,193.0,closed,864691135740271211,2021-12-30 13:29:26.836000000,57,yesConditional,1.0,4,86469113574027121157,1.3214463237220068e+18
1194,1194,2022-01-03 18:16:27.350000128,1641233372475000064,413.0,closed,864691135740271211,2021-12-30 13:29:26.836000000,57,no,0.0,6,86469113574027121157,1.3214463237220068e+18
1193,1193,2022-01-03 16:58:24.292999936,1641228942143000064,161.0,closed,864691135740271211,2021-12-30 13:29:26.836000000,57,yesConditional,1.0,5,86469113574027121157,1.3214463237220068e+18
1191,1191,2022-01-03 16:50:27.345999872,1641228592612999936,33.0,closed,864691135740271211,2021-12-30 13:29:26.836000000,57,yesConditional,1.0,3,86469113574027121157,1.3214463237220068e+18
1190,1190,2022-01-04 04:23:44.820999936,1641270134284000000,89.0,closed,864691135740271211,2021-12-30 13:29:26.836000000,57,yes,0.0,2,86469113574027121157,1.3214463237220068e+18
1189,1189,2022-01-04 05:22:40.368999936,1641273707257999872,52.0,closed,864691135740271211,2021-12-30 13:29:26.836000000,57,yesConditional,1.0,1,86469113574027121157,1.3214463237220068e+18
1773,1773,2022-01-05 16:39:25.319000064,1641400414304000000,350.0,closed,864691135740271211,2022-01-03 13:40:44.888000000,57,yesConditional,1.0,1000,86469113574027121157,1.3214463237220068e+18
1195,1195,2022-01-03 16:30:11.028999936,1641227213992000000,196.0,closed,864691135740271211,2021-12-30 13:29:26.836000000,57,no,0.0,7,86469113574027121157,1.3214463237220068e+18
1202,1202,2022-01-05 13:29:26.003000064,1641388932528999936,432.0,closed,864691135740271211,2021-12-30 13:29:26.836000000,57,no,0.0,14,86469113574027121157,1.3214463237220068e+18
1197,1197,2022-01-03 16:33:02.575000064,1641227371327000064,211.0,closed,864691135740271211,2021-12-30 13:29:26.836000000,57,yesConditional,1.0,9,86469113574027121157,1.3214463237220068e+18
1211,1211,2022-01-03 16:53:41.968999936,1641228620302000128,200.0,closed,864691135740271211,2021-12-30 13:29:26.836000000,57,yesConditional,1.0,23,86469113574027121157,1.3214463237220068e+18
1201,1201,2022-01-03 16:47:29.192000000,1641228358320999936,90.0,closed,864691135740271211,2021-12-30 13:29:26.836000000,57,yesConditional,1.0,13,86469113574027121157,1.3214463237220068e+18
1198,1198,2022-01-03 19:17:15.296999936,1641236852400999936,582.0,closed,864691135740271211,2021-12-30 13:29:26.836000000,57,yesConditional,1.0,10,86469113574027121157,1.3214463237220068e+18
1199,1199,2022-01-13 11:59:40.152000000,1642075085398000128,94.0,closed,864691135740271211,2021-12-30 13:29:26.836000000,57,errorNearby,0.5,11,86469113574027121157,1.3214463237220068e+18
