,run,precision,recall,f1,seg_id,num_endpoints,endpoints,invalidation_d,num_bilaplacian_iters,decimation_factor,comments,proposed_endpoints
0,1,1.0,1.0,1.0,864691135909994000,2,"[[402584 228856  23991]
 [402985 229235  23554]]",5600,60,0.5,good,"[[402977 229238  23552]
 [402560 228773  23990]]"
1,1,1.0,1.0,1.0,864691135247440303,3,"[[401612 224623  23991]
 [405257 226318  23620]
 [409162 219642  23891]]",5600,60,0.5,good,"[[401517 224651  23989]
 [405025 226750  23620]
 [409142 219359  23868]]"
2,1,1.0,1.0,1.0,864691135314714227,2,"[[397867 232230  23999]
 [397854 232252  23997]]",5600,60,0.5,good,"[[397937 232022  24000]
 [397818 232382  23996]]"
3,1,1.0,1.0,1.0,864691135552841025,2,"[[403332 227545  24398]
 [403566 227614  24425]]",5600,60,0.5,good,"[[403107 227471  24424]
 [403714 227758  24417]]"
4,1,0.5,0.5,0.5,864691135516937065,2,"[[ 77262 113088  20442]
 [ 79178 109116  20402]]",5600,60,0.5,good,"[[ 79746 109342  20411]
 [ 77223 113151  20441]]"
5,1,0.0,0.0,,864691134406233920,2,"[[100475 143982  21654]
 [100583 144194  21702]]",5600,60,0.5,good,"[[100773 144821  21653]
 [100997 144064  21666]]"
6,1,1.0,1.0,1.0,864691134330810585,2,"[[ 71898 146194  20442]
 [ 71499 146291  20404]]",5600,60,0.5,good,"[[ 71931 146126  20442]
 [ 71407 146305  20403]]"
7,1,0.6666666666666666,0.4,0.5,864691135337564242,5,"[[ 78610 145071  20707]
 [ 75884 143590  20453]
 [ 78226 151636  19714]
 [ 66549 151567  19790]
 [ 78090 150130  20388]]",5600,60,0.5,good,"[[ 75808 143430  20454]
 [ 78646 145003  20707]
 [ 77500 146667  20454]]"
8,1,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",5600,60,0.5,good,"[[ 77952 100682  21237]
 [ 77338 106419  21250]
 [ 77295 107823  21215]
 [ 76782  99746  21203]
 [ 77359 106373  21254]]"
9,1,0.5,0.3333333333333333,0.4,864691135730780609,3,"[[ 79785 135709  21133]
 [ 84176 127514  21582]
 [ 80523 134733  21498]]",5600,60,0.5,good,"[[ 84351 127340  21582]
 [ 81332 134587  21454]]"
10,1,0.0,0.0,,864691135651129491,2,"[[ 81198 106660  21133]
 [ 88864  99498  20482]]",5600,60,0.5,good,"[[ 88704  99704  20555]
 [ 80892 106263  21181]]"
11,1,0.0,0.0,0.0,864691133692934758,2,"[[ 77826 139204  21137]
 [ 77790 139215  21140]]",5600,60,0.5,good,nan
12,1,1.0,1.0,1.0,864691133097965890,2,"[[ 79165 133413  20708]
 [ 79077 133479  20677]]",5600,60,0.5,good,"[[ 79137 133378  20707]
 [ 79056 133516  20676]]"
13,1,0.0,0.0,,864691134918217423,2,"[[ 75409 116393  21135]
 [ 74841 116076  21217]]",5600,60,0.5,good,"[[ 75837 115971  21152]
 [ 74960 116578  21179]]"
14,1,0.0,0.0,0.0,864691133712131152,2,"[[ 84508 142994  20724]
 [ 84551 142973  20722]]",5600,60,0.5,good,nan
15,1,1.0,1.0,1.0,864691135559405139,2,"[[212020 200330  23231]
 [212535 200478  23228]]",5600,60,0.5,good,"[[211995 200317  23231]
 [212509 200468  23225]]"
16,1,0.3333333333333333,0.5,0.4,864691135537360703,2,"[[167695 211664  20725]
 [145921 225039  22976]]",5600,60,0.5,good,"[[145750 225129  22968]
 [152737 222044  22419]
 [166667 211490  20783]]"
17,1,0.5,0.5,0.5,864691134472630080,2,"[[351150 143681  15176]
 [348147 144970  14850]]",5600,60,0.5,good,"[[348703 145219  14892]
 [351105 143486  15148]]"
18,1,0.0,0.0,0.0,864691133678427777,2,"[[344600 142349  16939]
 [344592 142335  16937]]",5600,60,0.5,good,nan
19,1,1.0,1.0,1.0,864691133922173572,2,"[[365649 143596  17209]
 [365939 143556  17266]]",5600,60,0.5,good,"[[366017 143554  17266]
 [365766 143565  17210]]"
20,1,1.0,1.0,1.0,864691134865499607,2,"[[366719 138890  16417]
 [367885 138975  16518]]",5600,60,0.5,good,"[[368165 139331  16507]
 [366632 138911  16417]]"
21,1,0.5,0.5,0.5,864691134742288112,2,"[[353411 147608  15177]
 [352169 149000  14848]]",5600,60,0.5,good,"[[353878 147297  15172]
 [352089 148746  14850]]"
22,1,0.5,0.3333333333333333,0.4,864691135105077237,3,"[[366292 145971  16282]
 [365559 146710  16237]
 [366729 146323  16252]]",5600,60,0.5,good,"[[365940 146918  16264]
 [366867 146433  16252]]"
23,1,0.0,0.0,0.0,864691133766052845,2,"[[364450 138585  16225]
 [364459 138583  16224]]",5600,60,0.5,good,nan
24,1,0.5,0.5,0.5,864691135106856437,2,"[[368040 143694  16594]
 [369126 143559  16661]]",5600,60,0.5,good,"[[369875 143427  16636]
 [367734 143717  16594]]"
25,1,0.3333333333333333,0.5,0.4,864691135701215880,2,"[[101795 247367  19549]
 [ 97049 240061  20592]]",5600,60,0.5,good,"[[100801 246981  19668]
 [ 96729 239721  20487]
 [101822 247351  19548]]"
26,1,1.0,1.0,1.0,864691134282775283,2,"[[ 92574 255351  20402]
 [ 92241 255519  20432]]",5600,60,0.5,good,"[[ 92556 255396  20410]
 [ 92121 255548  20430]]"
27,1,1.0,1.0,1.0,864691135467651075,2,"[[114532 262237  21456]
 [117327 266080  21565]]",5600,60,0.5,good,"[[114470 262083  21455]
 [117312 266093  21563]]"
28,1,0.0,0.0,,864691135496889954,2,"[[121332 261988  21081]
 [124363 266598  21292]]",5600,60,0.5,good,"[[124448 265941  21073]
 [122001 262273  21072]]"
29,1,1.0,1.0,1.0,864691135418167764,2,"[[124076 245911  20653]
 [131332 245544  20993]]",5600,60,0.5,good,"[[124069 245900  20654]
 [131422 245564  20987]]"
30,1,0.5,0.5,0.5,864691135091308176,2,"[[ 91990 254558  18886]
 [ 89162 254502  18809]]",5600,60,0.5,good,"[[ 91389 254824  18866]
 [ 88947 254479  18809]]"
